id,question_number,lesson_name,lesson_group,topic,year,pdf_name,question_text,option_a,option_b,option_c,option_d,correct_option,difficulty,explanation
e114b37e-8b8e-4046-976d-2352d39cacc8,1,Türkçe,Genel Dersler,Türkçe,,sgs_2026_1_lisans_a_grubu_ingilizce.pdf,"Aşağıdaki cümlelerin hangisinde kalıp söz (deyim, atasözü), anlamına uygun bir bağlamda kullanılmamıştır?",A) ...,B) ...,C) ...,D) ...,C,orta,
00b773b6-d4b8-4e79-8653-e5fe8bdc77d3,1,Türkçe,Genel Dersler,Yazım Yanlışları,,sgs_2016_3_lisans_a_grubu_ingilizce.pdf,Yukarıdaki parçada numaralanmış cümlelerin hangisinde yazım yanlışı yoktur?,A) I,B) II,C) III,D) IV,C,kolay,C şıkkı doğrudur çünkü cümlede yazım yanlışı yoktur.
fae0c9d0-c8c7-4459-a993-3e216ac22c90,2,Matematik,Genel Dersler,Denklem,,sgs_2016_3_lisans_a_grubu_ingilizce.pdf,"𝒂 = 𝟒𝟖𝟐𝟗 ve 𝒃 = 𝟒𝟖𝟐𝟒 olduğuna göre, (𝒂+𝒃)𝟐 − 𝟒𝒂𝒃 ifadesinin değeri aşağıdakilerden hangisidir?",A) 16,B) 25,C) 36,D) 49,C,orta,C şıkkı doğrudur çünkü denklem çözümü 36 sonucunu verir.
dcd3db35-b27f-448e-a80e-7cb5ec4f9a84,3,Tarih - Genel Kültür,Genel Dersler,Osmanlı,,sgs_2016_3_lisans_a_grubu_ingilizce.pdf,"Aşağıdakilerden hangisi II. Dünya Savaşı’na giden süreçte, Türkiye’nin güvenlik arayışlarının bir sonucu olarak elde etmiş olduğu dış politik kazanımlardan biri değildir?",A) Birleşmiş Milletler’de kurucu üye olarak yer almak,B) Hatay’ın Türkiye’ye katılmasını sağlamak,C) Balkan Antantı’na katılmak,D) Sadabat Paktı’nı oluşturmak,C,orta,C şıkkı doğrudur çünkü Balkan Antantı Türkiye’nin güvenlik arayışları ile ilgili değildir.
f87c832d-d198-4e28-a8bf-82dd654725c0,4,İngilizce,Genel Dersler,Grammar,,sgs_2016_3_lisans_a_grubu_ingilizce.pdf,A global mobile network company has just ---- its four-year $60 million sponsorship deal with Manchester United Football Club.,A) ended,B) invested,C) lied,D) called,A,kolay,A şıkkı doğrudur çünkü 'ended' kelimesi cümlede doğru anlamı taşır.
b5797300-3e50-44f3-9322-02be751a1ccf,5,Mali Tablolar Analizi,Muhasebe,Bilanço,,sgs_2016_3_lisans_a_grubu_ingilizce.pdf,"ABC A.Ş.’nin döneme ilişkin bazı bilgileri aşağıda verilmiştir: Sermaye 800.000 TL, Ödenmemiş Sermaye 200.000 TL, Dönem Net Kârı 250.000 TL. Buna göre, şirketin döneme ilişkin 1. Tertip Yedek Akçe ve 1. Temettü tutarı sırasıyla aşağıdakilerden hangisidir?","A) 12.500 TL, 30.000 TL","B) 12.500 TL, 40.000 TL","C) 40.000 TL, 30.000 TL","D) 30.000 TL, 40.000 TL",A,zor,A şıkkı doğrudur çünkü hesaplamalar sonucunda bu değerler elde edilir.
fb8a27f1-edf7-4b29-ab05-60216f26f3cd,1,Türkçe,Genel Dersler,Yazım Yanlışları,,sgs_2017_1_lisans_a_grubu_ingilizce.pdf,Yukarıdaki cümlelerden hangisinde yazım yanlışı vardır?,A) I,B) II,C) III,D) IV,A,kolay,I. cümlede 'şişirecek' kelimesi yanlış yazılmıştır.
6f5f52b5-f970-4b3e-b5dc-e122cbdc1689,2,Türkçe,Genel Dersler,Anlam,,sgs_2017_1_lisans_a_grubu_ingilizce.pdf,Bu cümlede geçen 'küçük dilini yutmak' sözüyle anlatılmak istenen aşağıdakilerden hangisidir?,A) Şaşırmak,B) Üzülmek,C) Sevinmek,D) Kızmak,A,kolay,'Küçük dilini yutmak' ifadesi şaşırmak anlamında kullanılır.
d1478fc3-e3fc-4f53-b7c4-0bf71cabcf31,3,Matematik,Genel Dersler,Denklemler,,sgs_2017_1_lisans_a_grubu_ingilizce.pdf,Aşağıdaki denklemi sağlayan x değerlerinin toplamı kaçtır?,A) -3,B) 0,C) 1,D) 4,B,orta,Denklemi çözdüğümüzde x değerleri toplamı 0 çıkar.
d5b8a4a7-6fe3-4faf-9568-f6cdb09caa94,4,Tarih - Genel Kültür,Genel Dersler,Osmanlı,,sgs_2017_1_lisans_a_grubu_ingilizce.pdf,Osmanlı Devleti’nde 19. yüzyılda gerçekleşen olay ve gelişmelerle ilgili bir adlandırma yapıldığında aşağıdakilerden hangisi yanlıştır?,A) Çırağan Vakası,B) Sened-i İttifak,C) Balta Limanı Antlaşması,D) Takvim-i Vekayi,A,orta,"Çırağan Vakası, Yeniçeri Ocağının kaldırılması ile ilgili değildir."
afbc77b2-c1cc-4a81-ae57-7770324942af,5,İngilizce,Genel Dersler,Grammar,,sgs_2017_1_lisans_a_grubu_ingilizce.pdf,Richard says his car is ---- because he designed it himself.,A) polite,B) brave,C) possible,D) slim,E,kolay,Cümlede 'unique' kelimesi doğru seçenektir.
d0c11921-789c-4f59-9910-e6825bbe0ca8,1,Türkçe,Genel Dersler,Dil Bilgisi,,sgs_2017_3_lisans_a_grubu_ingilizce.pdf,Yukarıdaki cümlede numaralanmış sözcüklerden hangisi yalnızca çekim eki almıştır?,A) I,B) II,C) III,D) IV,B,kolay,II şıkkı doğrudur çünkü yalnızca çekim eki almıştır.
c544b204-6b65-4087-9ce4-67b9829df14b,2,Matematik,Genel Dersler,Denklem,,sgs_2017_3_lisans_a_grubu_ingilizce.pdf,8x - 6 = 11 denkleminin çözümü nedir?,A) 1,B) 2,C) 3,D) 4,C,orta,Denklemi çözdüğümüzde x = 3 bulunur.
272502ee-53d0-42c0-ba74-caef95c85370,3,Tarih - Genel Kültür,Genel Dersler,Cumhuriyet,,sgs_2017_3_lisans_a_grubu_ingilizce.pdf,Yeni Türk Devleti’nin sınırlarını belirleyen antlaşma hangisidir?,A) Lozan Antlaşması,B) Gümrü Antlaşması,C) Moskova Antlaşması,D) Sevr Antlaşması,A,kolay,"Lozan Antlaşması, Türkiye Cumhuriyeti'nin sınırlarını belirlemiştir."
794a738e-8441-47dd-b0f8-82435c76398c,4,İngilizce,Genel Dersler,Grammar,,sgs_2017_3_lisans_a_grubu_ingilizce.pdf,Jane had an excellent math teacher at school ---- encouraged her to do maths at university.,A) when,B) why,C) where,D) who,D,orta,Doğru cevap 'who' çünkü öğretmeni tanımlıyor.
779e3105-f49f-4a51-9c9e-658c1c5cd4c7,5,Mali Tablolar Analizi,Muhasebe,Bilanço,,sgs_2017_3_lisans_a_grubu_ingilizce.pdf,Aşağıdaki kayıt aşağıdaki işlemlerden hangisine aittir?,"A) Bankadaki kredi hesabından, aynı bankadaki ticari mevduat hesabına yapılan virman",B) Bankadaki ticari mevduat hesabına faiz tahakkuku,C) Bankada ticari mevduat hesabı açtırılması,D) Bankaya olan kredi borcunun faiziyle birlikte ödenmesi,B,zor,"Faiz tahakkuku, bankadaki ticari mevduat hesabına kaydedilir."
